2007-08-30,9.57,9.93,9.57,9.73,74399224,909715968.00
2007-08-31,9.72,9.72,9.49,9.64,68212000,822011840.00
2007-09-03,9.65,9.79,9.57,9.65,79463984,963780992.00
2007-09-04,9.65,9.74,9.55,9.61,61087408,738500992.00
2007-09-05,9.60,9.78,9.30,9.55,60224992,723267264.00
2007-09-06,9.59,9.93,9.55,9.74,94415656,1154430592.00
2007-09-07,9.66,9.74,9.39,9.42,77540120,925893632.00
2007-09-10,9.32,9.93,9.12,9.71,92646976,1106490112.00
2007-09-11,9.64,9.64,8.81,8.94,71789032,843250304.00
2007-09-12,8.93,9.12,8.62,8.89,58449776,651385664.00
2007-09-13,8.89,9.04,8.77,9.02,48623124,545601536.00
2007-09-14,9.04,9.09,8.72,9.03,53663868,601223168.00
2007-09-17,9.14,9.36,9.07,9.13,71606176,828417152.00
2007-09-18,9.13,9.22,8.84,9.12,51854052,586104704.00
2007-09-19,9.14,9.19,8.84,8.88,33128272,372876160.00
2007-09-20,8.93,9.01,8.80,8.87,32879300,367867744.00
2007-09-21,8.88,8.93,8.64,8.76,36634416,403963104.00
2007-09-24,8.75,8.87,8.54,8.81,33822840,371303136.00
2007-09-25,8.83,8.87,8.55,8.58,31216058,340173536.00
2007-09-26,8.58,8.71,8.46,8.48,22748620,246419008.00
2007-09-27,8.48,8.56,8.39,8.51,27676876,296720480.00
2007-09-28,8.64,8.80,8.58,8.76,46029084,503839520.00
2007-10-08,8.89,9.18,8.78,8.93,67251864,761556096.00
2007-10-09,8.94,9.01,8.82,8.89,33652332,377114208.00
2007-10-10,8.97,9.28,8.89,8.95,71064144,813650368.00
2007-10-11,8.97,9.40,8.80,9.34,131249192,1512093696.00
2007-10-12,9.30,9.33,8.57,8.96,82938848,935812416.00
2007-10-15,8.94,9.05,8.64,9.02,65327348,727528064.00
2007-10-16,9.15,9.55,9.15,9.29,137709744,1617581184.00
2007-10-17,9.30,9.30,8.97,9.06,47589320,546053056.00
2007-10-18,9.01,9.11,8.68,8.69,42240776,468795008.00
2007-10-19,8.73,8.84,8.55,8.59,29658034,324850528.00
2007-10-22,8.47,8.62,8.27,8.28,31621992,336297056.00
2007-10-23,8.28,8.63,8.18,8.53,30948716,326498944.00
2007-10-24,8.53,8.69,8.33,8.34,32375158,348872640.00
2007-10-25,8.21,8.39,7.85,7.92,46163428,469728768.00
