code,name,A,B,C,D,E,F
600208,新湖中宝,842361888,16432338,21205886,238300,152000,2000
600209,罗顿发展,314188756,0,160099,0,0,0
600210,紫江企业,678847539,28589174,33761727,0,0,0
600216,浙江医药,1188821434,90984122,60953068,39798,0,100
600218,全柴动力,787327356,12055034,8987378,0,0,0
600219,南山铝业,1280404519,38285454,33471260,9250,0,0
600220,江苏阳光,515477266,21240493,11963475,0,0,0
600221,海南航空,1192446364,29697594,29076661,1415700,0,413400
600222,太龙药业,564824878,9124980,12182772,0,0,0
600223,鲁商置业,356776704,10824192,14748763,1700,0,0
600225,天津松江,345361716,12031929,11302844,0,0,0
600229,城市传媒,460184835,24419195,17825714,0,0,0
600237,铜峰电子,843385052,94534598,100528684,0,0,0
600239,云南城投,564069920,12223161,11875366,390,0,500
600240,华业资本,938388630,33571006,15181254,30400,0,0
600251,冠农股份,324135711,13275486,8905250,0,0,0
600252,中恒集团,1164463641,50981328,62647664,293100,163900,0
600256,广汇能源,1022927071,27060749,17652171,176000,900,3100
600257,大湖股份,688156569,45974753,46370804,0,0,0
600259,广晟有色,641236474,66493895,64647441,49200,11700,1200
600260,凯乐科技,1287445891,30475261,24882228,5000,0,0
600261,阳光照明,253835646,8732335,6584278,6200,0,0
600266,北京城建,1423088461,37686486,24982660,1600,0,0
600267,海正药业,665903168,0,3943850,27200,0,0
600270,外运发展,542492699,77198891,83873675,20000,20000,0
600271,航天信息,2088199461,39634049,41399355,131376,7200,18000
600276,恒瑞医药,370630952,25659251,29281198,282217,35500,10500
600277,亿利洁能,1021165704,25784594,28564715,64500,1000,1200
600285,羚锐制药,440403098,42951753,14455450,0,0,0
600288,大恒科技,751424870,28168335,33227369,2300,0,0
600289,亿阳信通,1135114060,100307014,87864354,97200,0,45000
600292,远达环保,759604327,36236124,26388103,5000,0,0
600293,三峡新材,790095059,10102330,9371677,0,0,0
600298,安琪酵母,345717077,22032639,22151101,54200,41900,14900
600300,维维股份,504604988,15059250,16082745,36300,0,0
600307,酒钢宏兴,762900298,38570240,33365824,0,0,0
600309,万华化学,1072892142,39984546,43657508,84000,17800,11500
600312,平高电气,1235170649,83285354,84188112,88400,0,600
600315,上海家化,1143871099,41580716,29094246,337100,0,11700
600316,洪都航空,772137715,10198556,8355774,89276,21100,19993
600318,新力金融,639584182,59639807,73685413,13000,8000,0
600320,振华重工,318743398,8259714,8292404,25400,0,0
600321,国栋建设,406491139,0,291576,1800,0,0
600323,瀚蓝环境,489073884,34930475,21407867,23400,10000,8500
600325,华发股份,883763018,61677955,43205459,133600,700,0
600329,中新药业,457480204,7392292,7782599,17000,0,0
600330,天通股份,477863282,0,879629,0,0,0
600331,宏达股份,604827079,63346711,51472686,2600,0,0
600332,白云山,908394346,24142237,22968804,25091,0,0
600333,长春燃气,287458925,20456872,12958681,0,0,0
600335,国机汽车,313381533,10544464,13272535,24500,0,0
600336,澳柯玛,585356575,24663791,27852629,0,0,0
600340,华夏幸福,1748965114,106100884,101903375,187126,32006,17000
600343,航天动力,1068947806,70137770,99292527,43000,26900,0
600348,阳泉煤业,493387701,72713320,41310723,166700,147500,0
600350,山东高速,248664829,8679303,11830676,500,0,0
600352,浙江龙盛,1456223774,38075997,30046914,230600,0,0
600354,敦煌种业,533530354,20091029,12264286,5000,0,0
600362,江西铜业,993707818,41066239,32173986,35700,15900,0
600363,联创光电,958041674,41785657,38104781,0,0,0
600366,宁波韵升,1112483996,28482551,27969561,17500,2000,0
600369,西南证券,1422969714,36426503,26652769,58700,1100,6300
600372,中航电子,962890201,15661092,24834591,176223,16500,33000
600373,中文传媒,673019818,17686852,8574418,20100,0,7400
600376,首开股份,1012609269,40761739,30420776,23500,0,5000
600377,宁沪高速,87503386,2051529,837879,300,0,0
600380,健康元,1058389824,51723768,46706474,29000,5000,0
600382,广东明珠,965089916,23193876,39144404,0,0,0
600383,金地集团,2772414181,20874784,21661672,214246,20400,98000
600386,北巴传媒,426008352,6481896,17811037,0,0,0
600387,海越股份,575003236,14086303,10217599,0,0,0
600388,龙净环保,1006262472,48738851,77803349,22500,16500,0
600389,江山股份,284116301,40045708,52092639,48700,26800,0
600391,成发科技,804522368,22042702,19760763,2000,0,0
600392,盛和资源,1308857976,64512297,54183702,262300,30000,0
600395,盘江股份,349981667,74297271,55241868,123898,101000,70000
600406,国电南瑞,1872144192,63957927,31397818,350455,26500,26500
600409,三友化工,398233312,54784216,36571143,23500,18500,0
600410,华胜天成,1389155386,154656319,188830472,46908,0,0
600415,小商品城,931670753,84268787,68261941,723576,123900,35000
600416,湘电股份,801634121,19612565,25353261,7300,0,0
600418,江淮汽车,904183179,58621549,55839395,161300,60300,5000
600422,昆药集团,680670000,27677211,35495613,2400,2400,0
600425,青松建化,320429940,10714777,13495874,6000,0,0
600426,华鲁恒升,368541195,8022601,8736978,16400,9400,0
600433,冠豪高新,871098524,22899626,21069865,102700,0,0
600435,北方导航,998400710,28835971,27088172,235448,22000,114500
600436,片仔癀,477775583,20282440,23548477,19005,1900,2900
600446,金证股份,1963997556,45182344,60000390,41000,0,17000
600449,宁夏建材,461407871,32812305,23764933,4938,0,0
