Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,33.220001,33.689999,33.18,33.259998,7396000,33.259998
2015-12-30,33.849998,34.040001,33.349998,33.369999,5933500,33.369999
2015-12-29,33.630001,34.169998,33.599998,34.040001,12573500,34.040001
2015-12-28,33.900002,33.91,33.349998,33.599998,10869100,33.599998
2015-12-24,34.189999,34.740002,34.099998,34.110001,3468900,34.110001
2015-12-23,34.240002,34.580002,33.990002,34.450001,13448700,34.450001
2015-12-22,32.990002,34.209999,32.970001,34.189999,15521100,34.189999
2015-12-21,33.119999,33.299999,32.689999,32.970001,9065600,32.970001
2015-12-18,33.099998,33.630001,32.869999,32.950001,16414800,32.950001
2015-12-17,33.810001,34.080002,33.110001,33.23,12708500,33.23
2015-12-16,33.150002,33.880001,32.91,33.779999,12592400,33.779999
2015-12-15,32.529999,33.389999,32.50,33.029999,16140900,33.029999
2015-12-14,32.939999,33.27,32.209999,32.59,15949600,32.59
2015-12-11,34.009998,34.150002,32.82,32.91,14877600,32.91
2015-12-10,34.490002,34.73,33.91,34.630001,16128800,34.630001
2015-12-09,35.799999,35.84,33.150002,34.400002,44643600,34.400002
2015-12-08,34.240002,34.98,34.029999,34.849998,18513200,34.849998
2015-12-07,34.759998,34.919998,34.470001,34.68,12029700,34.68
2015-12-04,34.34,35.200001,34.18,34.91,15502700,34.91
2015-12-03,35.59,35.720001,34.099998,34.34,17068000,34.34
2015-12-02,35.00,36.389999,34.77,35.650002,56614000,35.650002
2015-12-01,33.869999,33.889999,33.470001,33.709999,10862500,33.709999
2015-11-30,33.029999,33.830002,32.849998,33.810001,17363600,33.810001
2015-11-27,32.790001,33.09,32.439999,32.939999,5313400,32.939999
2015-11-25,32.77,33.52,32.75,33.16,13257200,33.16
2015-11-24,33.09,33.189999,32.610001,32.959999,13364700,32.959999
2015-11-23,33.00,33.869999,32.869999,33.360001,11899700,33.360001
2015-11-20,32.860001,33.299999,32.689999,33.110001,12498500,33.110001
2015-11-19,33.209999,33.50,32.580002,32.630001,14222100,32.630001
2015-11-18,32.889999,33.02,32.32,32.98,11105600,32.98
2015-11-17,33.009998,33.119999,32.619999,32.860001,10270400,32.860001
2015-11-16,32.23,32.990002,32.119999,32.950001,11087800,32.950001
2015-11-13,32.779999,33.040001,32.169998,32.189999,11063300,32.189999
2015-11-12,33.200001,33.849998,33.130001,33.23,14273100,33.23
2015-11-11,34.209999,34.23,33.029999,33.380001,11804100,33.380001
2015-11-10,33.450001,34.130001,33.259998,33.990002,11511000,33.990002
2015-11-09,34.07,34.080002,33.080002,33.68,13645500,33.68
2015-11-06,34.939999,35.200001,33.459999,34.200001,16608600,34.200001
2015-11-05,35.02,35.299999,34.16,35.119999,15679100,35.119999
2015-11-04,34.889999,35.240002,34.75,35.07,17501800,35.07
2015-11-03,35.150002,35.34,34.650002,34.720001,12394300,34.720001
2015-11-02,35.459999,35.48,35.07,35.27,15206700,35.27
2015-10-30,35.139999,35.700001,35.049999,35.619999,17418900,35.619999
2015-10-29,34.869999,35.150002,34.700001,35.049999,10796200,35.049999
2015-10-28,34.299999,35.27,34.299999,35.189999,15174300,35.189999
2015-10-27,34.970001,35.470001,33.880001,34.299999,26380900,34.299999
2015-10-26,33.130001,33.490002,33.00,33.400002,15810300,33.400002
2015-10-23,32.650002,33.360001,32.240002,33.169998,24308600,33.169998
2015-10-22,31.26,31.90,31.209999,31.67,18501200,31.67
2015-10-21,32.060001,32.43,31.01,31.120001,30390400,31.120001
2015-10-20,33.490002,33.59,32.77,32.830002,19349200,32.830002
2015-10-19,33.259998,33.630001,33.18,33.50,10856500,33.50
2015-10-16,33.639999,33.860001,33.16,33.369999,12209300,33.369999
2015-10-15,32.419998,33.490002,32.400002,33.48,19403800,33.48
2015-10-14,32.279999,32.490002,31.77,32.09,11282800,32.09
2015-10-13,32.560001,32.830002,32.32,32.34,15873800,32.34
2015-10-12,32.709999,33.02,32.549999,32.860001,12580300,32.860001
