code,name,trade,buy,changepercent,open,high,low,volume,ticktime,turnoverratio
300391,康跃科技,21.73,21.73,1.78,21.4,21.93,21.4,1924583,15:05:52,3.7244
652,泰达股份,6.41,6.4,1.746,6.28,6.42,6.28,26499097,15:05:52,1.80798
915,山大华特,34.06,34.06,1.702,33.5,34.35,33.5,3459820,15:05:52,1.9288
798,中水渔业,12.3,12.23,1.653,12.01,12.3,12.01,3807827,15:05:52,1.192
300210,森远股份,17.46,17.45,1.63,17,17.58,17,4265307,15:05:52,3.70198
2738,中矿资源,37.81,37.81,1.503,37.29,38.15,37.29,1817124,15:05:52,6.05708
300034,钢研高纳,26.88,26.88,1.434,26.45,26.97,26.45,5779800,15:05:52,1.80608
2349,精华制药,32.78,32.78,1.423,32.16,32.93,32.16,2548879,15:05:52,1.28948
300124,汇川技术,46.62,46.61,1.392,45.96,46.95,45.96,7838751,15:05:52,1.26143
2088,鲁阳节能,16.21,16.21,1.313,15.92,16.29,15.92,3470925,15:05:52,2.60037
2516,旷达科技,14.25,14.25,1.207,14.08,14.38,14.08,7065371,15:05:52,2.59523
2561,徐家汇,15.11,15.1,0.801,15,15.25,15,4142171,15:05:52,1.07228
2533,金杯电工,9.04,9.03,0.78,8.93,9.1,8.93,9192610,15:05:52,1.83634
902,新洋丰,26.65,26.65,0.528,26.4,26.79,26.4,5919209,15:05:52,2.29427
300375,鹏翎股份,22.59,22.58,0.133,22.36,22.8,22.36,1722819,15:05:52,2.36291
2062,宏润建设,9.47,9.46,-0.316,9.34,9.54,9.34,9430997,15:05:52,1.4068
600303,曙光股份,14.67,14.74,8.828,13.7,14.75,13.7,56869340,15:03:12,9.89882
600649,城投控股,21.13,21.12,5.334,20.16,21.29,20.16,54279470,15:03:12,1.81687
600090,啤酒花,19.23,19.23,5.082,18.32,19.38,18.32,8948755,15:03:12,2.43228
603558,健盛集团,22.82,22.85,4.535,21.92,22.88,21.92,4566215,15:03:12,6.08829
600383,金地集团,13.84,13.82,4.374,13.4,13.94,13.4,39909901,15:03:12,0.88696
603686,龙马环卫,37.69,37.68,3.147,36.5,37.78,36.5,3368873,15:03:12,5.05078
