code,name,trade,percent,category,tilte1,tilte2
002190,成飞集成,33.80,0.000,央企国资改革;融资融券;电动汽车租赁,,
300114,中航电测,25.04,0.000,央企国资改革;智能穿戴;仪电仪表,,
600063,皖维高新,4.84,0.000,地方国资改革;金改;融资融券,,
600169,太原重工,4.18,0.000,地方国资改革;融资融券;沪港通概念,,
600495,晋西车轴,8.57,0.000,央企国资改革;央企整合;融资融券,,
601965,中国汽研,11.54,-0.087,央企国资改革;新能源汽车;中字头股票,,
600776,东方通信,8.84,-0.113,央企国资改革;央企整合;融资融券,,
600513,联环药业,16.88,-0.118,地方国资改革;登革热;国产伟哥,,
000049,德赛电池,39.40,-0.127,地方国资改革;融资融券;机构重仓,,
600281,太化股份,7.69,-0.130,地方国资改革;证金持股;甲醇,,
000965,天保基建,6.94,-0.144,地方国资改革;环渤海;京津冀一体化,,
000801,四川九洲,11.38,-0.175,地方国资改革;融资融券;成渝特区,,
600780,通宝能源,5.70,-0.175,地方国资改革;证金持股;山西工业转型,,
600539,ST狮头,15.92,-0.188,地方国资改革;并购重组;净水器,,
600877,中国嘉陵,10.62,-0.188,央企国资改革;国资整合;央企整合,,
600452,涪陵电力,43.29,-0.208,央企国资改革;电力改革;节能环保,,
300105,龙源技术,9.42,-0.212,央企国资改革;余热发电;脱硫脱硝,,
600984,建设机械,8.92,-0.224,地方国资改革;公路建设;一带一路,,
000599,青岛双星,8.26,-0.242,地方国资改革;青岛东方影都;工业4.0,,
600475,华光股份,19.25,-0.259,地方国资改革;金改;仪电仪表,,
600386,北巴传媒,13.78,-0.289,地方国资改革;融资融券;LNG汽车,,
000695,滨海能源,16.74,-0.298,地方国资改革;供气;天津自贸区,,
600097,开创国际,22.70,-0.307,地方国资改革;上海国资改革;海洋经济,,
000561,烽火电子,12.97,-0.308,地方国资改革;国开行;电子信息,,
600602,云赛智联,9.54,-0.314,地方国资改革;上海国资改革;智慧城市,,
600213,亚星客车,15.71,-0.317,地方国资改革;校车;汽车制造概念,,
600197,伊力特,15.08,-0.331,地方国资改革;融资融券;喀什,,
000755,山西三维,8.92,-0.335,地方国资改革;股权转让;低碳经济(CDM,,
600708,光明地产,8.89,-0.336,地方国资改革;上海国资改革;养老地产,,
600223,鲁商置业,5.77,-0.345,地方国资改革;融资融券;青岛东方影都,,
000919,金陵药业,13.77,-0.362,地方国资改革;南京国资改革;医疗改革,,
600665,天地源,5.45,-0.366,地方国资改革;西安自贸区,,
001896,豫能控股,10.66,-0.374,地方国资改革;电力改革;融资融券,,
002125,湘潭电化,15.00,-0.398,地方国资改革;湖南国资改革;小金属,,
002204,大连重工,4.62,-0.431,地方国资改革;融资融券;东北亚经贸中心,,
000978,桂林旅游,11.45,-0.435,地方国资改革;收入改革;东盟北部湾,,
600054,黄山旅游,16.03,-0.435,地方国资改革;皖江区域;沪港通概念,,
600463,空港股份,15.48,-0.450,地方国资改革;国开行;土地流转,,
600757,长江传媒,8.56,-0.465,地方国资改革;融资融券;证金持股,,
600963,岳阳林纸,8.45,-0.471,央企国资改革;林场改革;人民币升值,,
601001,大同煤业,6.33,-0.472,地方国资改革;融资融券;转融券标的,,
000949,新乡化纤,6.26,-0.477,地方国资改革;大豆蛋白纤维;油价下调,,
600724,宁波富达,6.05,-0.493,地方国资改革;舟山自贸区;舟山新区,,
000751,锌业股份,5.90,-0.506,央企国资改革;参股金融;振兴东北,,
600419,天润乳业,54.85,-0.508,地方国资改革;并购重组;新疆建设兵团,,
600716,凤凰股份,7.80,-0.510,地方国资改革;江苏国资改革;融资融券,,
600756,浪潮软件,23.11,-0.517,地方国资改革;国产软件;融资融券,,
000505,*ST珠江,11.35,-0.526,地方国资改革;并购重组;三沙,,
000551,创元科技,10.87,-0.549,地方国资改革;金改;融资融券,,
600071,凤凰光学,24.74,-0.563,地方国资改革;地沟油概念;仪电仪表,,
002243,通产丽星,14.10,-0.564,地方国资改革;深圳国资改革;富勒烯,,
600736,苏州高新,8.81,-0.564,地方国资改革;金改;海绵城市,,
600059,古越龙山,10.35,-0.576,地方国资改革;融资融券;转融券标的,,
600726,华电能源,5.13,-0.581,央企国资改革;央企控股;央企整合,,
600502,安徽水利,10.15,-0.588,地方国资改革;融资融券;沪港通概念,,
600073,上海梅林,11.73,-0.593,地方国资改革;上海国资改革;融资融券,,
000906,物产中拓,16.37,-0.607,地方国资改革;融资租赁;汽车电商,,
002109,*ST兴化,7.98,-0.623,地方国资改革;甲醇;天水经济区,,
000897,津滨发展,4.75,-0.628,地方国资改革;融资融券;万达私有化,,
600488,天药股份,6.31,-0.630,地方国资改革;医保;余额宝,,
000537,广宇发展,9.34,-0.638,央企国资改革;融资融券;土地流转,,
000016,深康佳A,4.62,-0.645,央企国资改革;央企控股;央企整合,,
002181,粤传媒,7.65,-0.649,地方国资改革;融资融券;体育产业,,
600743,华远地产,4.55,-0.655,地方国资改革;融资融券;东城西城合并,,
600248,延长化建,7.46,-0.666,地方国资改革;参股金融;天水经济区,,
600573,惠泉啤酒,15.85,-0.689,地方国资改革;厄尔尼诺概念;啤酒,,
600163,中闽能源,5.70,-0.697,地方国资改革;电力改革;风电,,
002254,泰和新材,12.76,-0.700,地方国资改革;黄河三角;军工,,
601369,陕鼓动力,6.95,-0.714,地方国资改革;融资融券;煤化工,,
000880,潍柴重机,15.28,-0.715,地方国资改革;纳米;黄河三角,,
600508,上海能源,11.00,-0.722,央企国资改革;金改;稀缺资源,,
601226,华电重工,8.22,-0.725,央企国资改革;证金持股;风电,,
600714,金瑞矿业,16.16,-0.737,地方国资改革;稀缺资源;兰西格经济区,,
600744,华银电力,5.33,-0.745,央企国资改革;电力改革;央企控股,,
600707,彩虹股份,9.30,-0.747,央企国资改革;央企整合;融资融券,,
600676,交运股份,9.24,-0.752,地方国资改革;上海国资改革;融资融券,,
600396,金山股份,5.23,-0.759,央企国资改革;电力改革;低碳经济(CDM,,
600322,天房发展,6.48,-0.766,地方国资改革;棚户区改造;京津冀一体化,,
600784,鲁银投资,10.32,-0.769,地方国资改革;山东金改;并购重组,,
002046,轴研科技,12.77,-0.777,央企国资改革;央企整合;央企控股,,
002449,国星光电,13.43,-0.812,地方国资改革;国家科技大会;OLED,,
600791,京能置业,8.49,-0.818,地方国资改革;北京国资改革;国资整合,,
600399,抚顺特钢,7.23,-0.823,地方国资改革;特钢;股权冻结,,
600874,创业环保,8.37,-0.829,地方国资改革;美丽中国;融资融券,,
600679,上海凤凰,31.94,-0.838,地方国资改革;上海国资改革;金改,,
600420,现代制药,31.54,-0.849,央企国资改革;抗癌;并购重组,,
600020,中原高速,4.62,-0.858,地方国资改革;融资融券;河南自贸区,,
000636,风华高科,10.30,-0.866,地方国资改革;广东国资改革;元器件,,
600195,中牧股份,21.14,-0.891,央企国资改革;央企整合;动物免疫,,
000951,中国重汽,14.38,-0.896,地方国资改革;环渤海;汽车制造概念,,
600825,新华传媒,8.80,-0.901,地方国资改革;上海国资改革;上海文化改革,,
600850,华东电脑,25.02,-0.911,央企国资改革;国资整合;央企整合,,
002096,南岭民爆,15.01,-0.924,地方国资改革;长株潭,,
002200,云投生态,23.60,-0.924,地方国资改革;海绵城市;PPP概念,,
600250,南纺股份,16.08,-0.924,地方国资改革;南京国资改革;参股金融,,
600329,中新药业,18.18,-0.926,地方国资改革;医疗改革;融资融券,,
002683,宏大爆破,9.60,-0.929,地方国资改革;广东国资改革;国家科技大会,,
600719,大连热电,8.42,-0.941,地方国资改革;大连自贸区;并购重组,,
600657,信达地产,6.21,-0.957,央企国资改革;国产软件;沪港通概念,,
600305,恒顺醋业,11.35,-0.960,地方国资改革;机构重仓;沪港通概念,,
000151,中成股份,20.60,-0.962,央企国资改革;国投系;融资融券,,
