,name,trade
300113,顺网科技,80.4
300302,同有科技,66.49
300109,新开源,60.39
300078,思创医惠,36.02
300160,秀强股份,36.41
300310,宜通世纪,48.36
300033,同花顺,64.39
300036,超图软件,31.6
300009,安科生物,35.77
300017,网宿科技,55.94
300266,兴源环境,39.99
300100,双林股份,28.11
300230,永利股份,30.9
300061,康耐特,23.12
300093,金刚玻璃,25.2
300031,宝通科技,22.9
300065,海兰信,31.55
300329,海伦钢琴,29.02
300023,宝德股份,33.5
300188,美亚柏科,32.75
300327,中颖电子,34.45
300073,当升科技,28.28
300083,劲胜精密,34.0
300042,朗科科技,31.3
300085,银之杰,45.7
300059,东方财富,43.01
300250,初灵信息,57.51
300037,新宙邦,40.69
300232,洲明科技,30.3
300001,特锐德,20.91
300149,量子高科,15.49
300156,神雾环保,36.89
300136,信维通信,25.14
300053,欧比特,35.52
300277,海联讯,30.47
300066,三川股份,18.2
300144,宋城演艺,26.02
300015,爱尔眼科,30.19
300018,中元华电,25.48
300003,乐普医疗,32.0
300062,中能电气,19.0
300098,高新兴,15.05
300010,立思辰,21.16
300097,智云股份,34.29
300299,富春通信,31.14
300008,上海佳豪,19.31
300161,华中数控,25.06
300016,北陆药业,28.5
300101,振芯科技,23.48
300222,科大智能,19.15
300145,南方泵业,37.49
300196,长海股份,29.46
300114,中航电测,36.96
300240,飞力达,17.89
300094,国联水产,16.57
300203,聚光科技,27.97
300068,南都电源,15.62
300117,嘉寓股份,11.04
300245,天玑科技,28.72
300174,元力股份,21.25
300151,昌红科技,16.48
300131,英唐智控,16.1
300148,天舟文化,22.5
300163,先锋新材,10.4
300007,汉威电子,23.19
300278,华昌达,17.31
300141,和顺电气,20.25
300249,依米康,21.76
300095,华伍股份,10.83
300138,晨光生物,15.81
300294,博雅生物,34.28
300014,亿纬锂能,23.84
300092,科新机电,9.85
300182,捷成股份,18.26
300035,中科电气,11.18
300076,GQY视讯,20.95
300208,恒顺众�,17.72
300119,瑞普生物,15.56
300176,鸿特精密,22.8
300142,沃森生物,9.56
300297,蓝盾股份,14.56
300201,海伦哲,14.65
300243,瑞丰高材,15.3
300189,神农基因,5.39
300271,华宇软件,39.61
300019,硅宝科技,11.43
300040,九洲电气,9.56
300047,天源迪科,17.59
300214,日科化学,7.99
300096,易联众,17.48
300207,欣旺达,22.67
300178,腾邦国际,23.25
300219,鸿利光电,11.3
300198,纳川股份,12.15
300187,永清环保,42.1
300368,汇金股份,36.0
300279,和晶科技,33.68
300108,双龙股份,12.49
300264,佳创视讯,16.6
300285,国瓷材料,31.37
300215,电科院,13.3
300401,花园生物,25.4
300180,华峰超纤,12.66
300184,力源信息,11.57
300269,联建光电,21.31
300123,太阳鸟,10.55
300158,振东制药,14.81
300159,新研股份,13.0
300173,智慧松德,12.9
300218,安利股份,14.23
300064,豫金刚石,8.92
300086,康芝药业,11.85
300267,尔康制药,29.45
300192,科斯伍德,11.08
300221,银禧科技,10.86
300342,天银机电,30.85
300345,红宇新材,11.56
300152,科融环境,7.55
