,name,trade
300127,银河磁体,20.75
300116,坚瑞沃能,21.88
300063,天龙集团,29.15
300310,宜通世纪,29.13
300215,电科院,15.24
300035,中科电气,16.68
300194,福安药业,28.3
300040,九洲电气,13.18
300160,秀强股份,12.93
300087,荃银高科,13.48
300136,信维通信,32.1
300317,珈伟股份,43.75
300145,中金环境,27.47
300042,朗科科技,35.74
300108,双龙股份,9.3
300103,达刚路机,23.28
300044,赛为智能,22.55
300089,文化长城,16.24
300156,神雾环保,33.92
300398,飞凯材料,99.95
300434,金石东方,37.24
300278,华昌达,21.57
300408,三环集团,18.7
300021,大禹节水,19.88
300225,金力泰,13.12
300275,梅安森,30.35
300093,金刚玻璃,24.39
300097,智云股份,60.7
300046,台基股份,24.55
300294,博雅生物,61.31
300158,振东制药,20.86
300327,中颖电子,40.03
300115,长盈精密,28.32
300260,新莱应材,33.82
300281,金明精机,19.59
300036,超图软件,16.91
300125,易世达,28.45
300019,硅宝科技,13.32
300106,西部牧业,15.7
300184,力源信息,14.99
300200,高盟新材,17.38
300450,先导智能,42.33
300197,铁汉生态,13.1
300393,中来股份,57.45
300507,苏奥传感,119.3
300198,纳川股份,7.56
300445,康斯特,27.75
300092,科新机电,13.52
300084,海默科技,12.51
300122,智飞生物,17.93
300123,太阳鸟,18.01
300237,美晨科技,17.94
300081,恒信移动,15.44
300243,瑞丰高材,16.41
300054,鼎龙股份,22.54
300107,建新股份,7.11
300003,乐普医疗,17.19
300086,康芝药业,14.48
300280,南通锻压,32.0
300142,沃森生物,12.42
300094,国联水产,9.33
300461,田中精机,78.5
300132,青松股份,10.06
300129,泰胜风能,8.77
300014,亿纬锂能,35.94
300037,新宙邦,52.29
300173,智慧松德,16.26
300258,精锻科技,16.64
300056,三维丝,18.47
300091,金通灵,14.36
300138,晨光生物,19.57
300083,劲胜精密,8.52
300214,日科化学,8.81
300073,当升科技,55.41
300169,天晟新材,11.07
300176,鸿特精密,48.73
300232,洲明科技,14.83
300189,神农基因,5.05
300175,朗源股份,15.48
300161,华中数控,27.17
300110,华仁药业,14.12
300143,星河生物,28.15
300095,华伍股份,13.52
300185,通裕重工,3.03
300355,蒙草生态,14.7
300038,梅泰诺,44.52
300061,康耐特,22.6
300124,汇川技术,22.46
300193,佳士科技,10.56
300230,永利股份,33.36
300285,国瓷材料,38.82
300249,依米康,14.35
300180,华峰超纤,28.09
300098,高新兴,13.17
300033,同花顺,67.89
300064,豫金刚石,10.38
300174,元力股份,56.57
300221,银禧科技,17.6
300048,合康新能,8.34
300402,宝色股份,26.85
300117,嘉寓股份,6.69
300203,聚光科技,30.07
300069,金利华电,37.64
300121,阳谷华泰,16.7
300100,双林股份,27.96
300338,开元仪器,23.87
300120,经纬电材,16.54
300427,红相电力,27.3
300400,劲拓股份,39.92
300376,易事特,62.81
300222,科大智能,27.49
300466,赛摩电气,41.99
300072,三聚环保,56.85
300023,宝德股份,17.28
300219,鸿利智汇,12.65
300062,中能电气,32.89
300403,地尔汉宇,62.84
300447,全信股份,48.87
300034,钢研高纳,22.07
300152,科融环境,8.93
300128,锦富技术,21.1
300296,利亚德,35.98
300031,宝通科技,23.67
300340,科恒股份,59.7
300313,天山生物,20.02
300487,蓝晓科技,66.69
300308,中际装备,35.78
300344,太空板业,16.89
300066,三川智慧,6.79
300076,GQY视讯,12.35
300323,华灿光电,12.52
300099,尤洛卡,11.49
300008,天海防务,23.63
